Nom,Position,Durée,Action,Défense,Rendement,Joueuses,Attaque,Défense Attaqué,Grand Espace
,0,0,,1,,,,,
,79000,10000,,1,,,,,
,107000,10000,,,,,1,,
,120000,10000,,1,,,,,
,133000,10000,,,,,1,,
,146000,9000,,1,,,,,
,177000,10000,,,,,1,,
,190000,4000,,1,,,,,
,195000,10000,,,,,1,,
,209000,8000,,1,,,,,
,222000,10000,,,,,1,,
,257000,10000,,1,,,,,
,278000,10000,,,,,1,,
,291000,10000,,1,,,,,
,305000,8000,,,,,1,,
,332000,10000,,1,,,,,
,375000,10000,,,,,1,,
,388000,4000,,1,,,,,
,393000,6000,,,,,1,,
,400000,9000,,1,,,,,
,442000,10000,,,,,1,,
,502000,10000,,1,,,,,
,523000,10000,,,,,1,,
,536000,6000,,1,,,,,
,543000,7000,,,,,1,,
,551000,9000,,1,,,,,
,650000,10000,,,,,1,,
,708000,10000,,1,,,,,
,727000,10000,,,,,1,,
,763000,10000,,1,,,,,
,779000,10000,,,,,1,,
,810000,10000,,1,,,,,
,827000,10000,,,,,1,,
,851000,10000,,1,,,,,
,867000,10000,,,,,1,,
,890000,10000,,1,,,,,
,906000,5000,,,,,1,,
,985000,10000,,1,,,,,
,1022000,10000,,,,,1,,
,1037000,10000,,1,,,,,
,1094000,10000,,,,,1,,
,1137000,10000,,1,,,,,
,1157000,10000,,,,,1,,
,1170000,5000,,1,,,,,
,1190000,10000,,,,,1,,
,1228000,10000,,1,,,,,
,1244000,9000,,,,,1,,
,1292000,10000,,1,,,,,
,1308000,10000,,,,,1,,
,1339000,10000,,1,,,,,
,1384000,10000,,,,,1,,
,1415000,10000,,1,,,,,
,1455000,10000,,,,,1,,
,1468000,3000,,1,,,,,
,1490000,10000,,,,,1,,
,1532000,10000,,1,,,,,
,1548000,8000,,,,,1,,
,1557000,10000,,1,,,,,
,1582000,10000,,,,,1,,
,1617000,10000,,1,,,,,
,1642000,10000,,,,,1,,
,1696000,10000,,1,,,,,
,1717000,10000,,,,,1,,
,1755000,10000,,1,,,,,
,1796000,10000,,,,,1,,
,1814000,10000,,1,,,,,
,1830000,10000,,,,,1,,
,1843000,10000,,1,,,,,
,1861000,10000,,,,,1,,
,1907000,10000,,1,,,,,
,1962000,10000,,,,,1,,
,2003000,10000,,1,,,,,
,2074000,10000,,,,,1,,
,2113000,10000,,1,,,,,
,2130000,6000,,,,,1,,
,2196000,10000,,,,,1,,
,2221000,10000,,1,,,,,
,2282000,10000,,,,,1,,
,2298000,4000,,1,,,,,
,2318000,10000,,,,,1,,
,2378000,10000,,1,,,,,
,2391000,0,,,,,1,,
,2392000,9000,,1,,,,,
,2439000,10000,,,,,1,,
,2466000,10000,,1,,,,,
,2482000,10000,,,,,1,,
,2512000,10000,,1,,,,,
,2535000,10000,,,,,1,,
,2605000,10000,,1,,,,,
,2619000,9000,,,,,1,,
,2657000,10000,,1,,,,,
,2773000,10000,,,,,1,,
,2789000,8000,,1,,,,,
,2800000,10000,,,,,1,,
,2834000,10000,,1,,,,,
,2859000,10000,,,,,1,,
,2875000,5000,,1,,,,,
,2881000,10000,,,,,1,,
,2916000,10000,,1,,,,,
,2952000,10000,,,,,1,,
,2968000,4000,,1,,,,,
,2973000,-1000,,,,,1,,
,2973000,2000,,1,,,,,
,2976000,0,,,,,1,,
,2990000,10000,,1,,,,,
,3003000,5000,,,,,1,,
,3040000,10000,,1,,,,,
,3097000,10000,,,,,1,,
,3167000,10000,,1,,,,,
,3227000,10000,,,,,1,,
,3270000,10000,,1,,,,,
,3307000,10000,,,,,1,,
,3324000,9000,,1,,,,,
,3339000,10000,,,,,1,,
,3355000,7000,,1,,,,,
,3415000,10000,,,,,1,,
,3450000,10000,,1,,,,,
,3517000,10000,,,,,1,,
,3565000,10000,,1,,,,,
,3599000,10000,,,,,1,,
,3655000,10000,,1,,,,,
,3668000,6000,,,,,1,,
,3715000,10000,,1,,,,,
,3737000,10000,,,,,1,,
,3753000,10000,,1,,,,,
,3789000,10000,,,,,1,,
,3856000,10000,,1,,,,,
,3871000,10000,,,,,1,,
,3936000,10000,,1,,,,,
,3949000,10000,,,,,1,,
,3976000,10000,,1,,,,,
,4013000,10000,,,,,1,,
,4029000,7000,,1,,,,,
,4051000,10000,,,,,1,,
,4127000,10000,,1,,,,,
,4142000,10000,,,,,1,,
,4158000,8000,,1,,,,,
,4176000,10000,,,,,1,,
,4197000,10000,,1,,,,,
,4217000,10000,,,,,1,,
,4235000,10000,,1,,,,,
,4249000,1000,,,,,1,,
,4273000,10000,,1,,,,,
,4306000,10000,,,,,1,,
,4335000,10000,,1,,,,,
,4370000,10000,,,,,1,,
,4432000,10000,,1,,,,,
,4446000,9000,,,,,1,,
,4493000,10000,,1,,,,,
,4507000,183000,,,,,1,,
