Nom,Position,Durée:,Action,Défense,Rendement,Joueuses,Attaque,Défense Attaquée,Grand Espace
0/6 (1),57760,10000,Retour,Rotation,+,,,,
0/6 (2),74120,10000,Retour,Rotation,+,Noemie 10,,,
12 (1),105560,10000,Retour,,-,Chloe 2;Sam 17;Leslie 26,12,0-6,
REPLI (1),116120,10000,Retour,REPLI,-,Laurie 12,,,
E.R (1),128640,10000,Retour,,+,Sam 17,,,E.R
REPLI (2),141840,10000,Retour,REPLI,-,Laurie 12,,,
12 (2),177040,10000,Retour,,-,Sam 17;Leslie 26;Chloe 2,12,0-6,
Duel (1),192880,14000,Retour,,-,Chloe 2;Sam 17,Duel,0-6,
REPLI (3),202360,10000,Retour,REPLI,-,Laurie 12,,,
Fixation (1),217960,14000,Retour,,-,Mouna 20;Leslie 26,Fixation,0-6,
0/6 (3),258160,10000,Retour,12,+,Chloe 2,,,
MdB (1),270800,10000,Retour,,-,Noemie 10,,,MdB
ISO (1),273120,14000,Retour,,+,Mouna 20,ISO,0-6,
REPLI (4),290120,10000,Retour,REPLI,+,Laurie 12,,,
MdB (2),300000,10000,Retour,,+,Chloe 2;Lea 18,,,MdB
0/6 (4),336200,10000,,12,+,Laurie 12,,,
MdB (3),344320,10000,Retour,,-,Sam 17,,,MdB
41 (1),363280,10000,Retour,,-,Mouna 20;Lea 18,41,0-6,
TF Piv (1),375720,10000,Retour,,-,Sam 17;Chloe 2,TF Piv,0-6,
REPLI (5),382040,10000,Retour,REPLI,+,Mouna 20,,,
REPLI (6),393880,10000,Retour,REPLI,-,Leslie 26;Laurie 12,,,
TF Piv (2),413200,10000,Retour,,Pénalty,Chloe 2;Mouna 20,TF Piv,0-6,
Pénalty (1),447200,5000,Retour,,,Anna 5,Pénalty,,
0/6 (5),472320,10000,Retour,Rotation,+,Laurie 12,,,
TF Piv (3),517400,10000,Retour,,-,Mouna 20;Chloe 2,TF Piv,0-6,
TF Piv (4),524080,10000,Retour,,-,Mouna 20,TF Piv,0-6,
REPLI (7),531720,10000,Retour,REPLI,-,Laurie 12,,,
E.R (2),538680,10000,Retour,,-,Mouna 20,,,E.R
REPLI (8),543480,10000,Retour,REPLI,-,Laurie 12,,,
