Nom,Position,Durée:,Attaque,Rendement,Zone joueurs,Défense,Grand Espace
DUEL (1),40160,10000,DUEL,NEUTRE-JF,Sam 17,,
41 (1),58840,11360,41,+,Leslie 26,,
RENDEMENT DEFENSIF (1),76880,6000,,NEUTRE-JF,Sam 17,DUEL,
0/6 (1),96840,10000,,-,,Espagnol,
DEGERMANN (2),102840,5000,,NEUTRE-JF,,Espagnol,
0/6 (2),121800,11680,,NEUTRE-JF,,Espagnol,
0/6 (3),139640,10000,,-,,TITI,
DEGERMANN (1),144640,5000,,-,,TITI,
Divers (1) pdb,159960,10000,Divers,-,,,
REPLI DEF (1),163760,11000,,+,,REPLI DEF,
DEGERMANN (3),169800,5000,,+,,DEGERMANN,
Espagnol (1),186600,10000,Espagnol,-,,,
0/6 (4),213480,19840,,+,,12/YAGO,
0/6 (4) yago iso3,216480,10000,,NEUTRE-JF,,12/YAGO,
DEGERMANN (4),224840,5000,,-,,DUEL,
DEGERMANN (5),229720,5000,,+,,DEGERMANN,
2 (1),251880,10000,2,-,Leslie 26,,
REPLI DEF (2),260480,11000,,NEUTRE-JF,,REPLI DEF,
0/6 (5),287840,10000,,-,Noemie 10,12/YAGO,
C.A (1),294760,10000,,-,Chloe 2,,C.A
REPLI DEF (3),306800,11000,,-,Sam 17,DUEL,
0/6 (6),335920,14440,,+,,TITI,
RENDEMENT DEFENSIF (2),344320,6000,,+,Chloe 2,Pivot,
DEGERMANN (6),345360,5000,,+,,Pivot,
E.R 22 (1),351240,10000,,-,Sam 17,,E.R 22
0/6 (7),381480,10000,,NEUTRE-JF,,TITI,
0/6 (8),408960,10000,,+,Sam 17,12/YAGO,
DEGERMANN (7),413880,5000,,+,,12/YAGO,
E.R (1),418920,10000,,NEUTRE-JF,Sam 17,,E.R
FAUX 12 (1),437520,10000,FAUX 12,+,Mouna 20,,
REPLI DEF (4),447480,9200,,+,Leslie 26,DUEL,
DEGERMANN (8),451680,5000,,+,,DUEL,
E.R Tipex (1),460160,10000,,+,Chloe 2,,E.R Tipex
RENDEMENT OFFENSIF (1),464160,6000,RENDEMENT OFFENSIF,,Sam 17,,
0/6 (9),512880,10000,,-,Leslie 26,AR*AR,
MdB 22 (1),523000,10000,,NEUTRE-JF,Sam 17,,MdB 22
DUEL (2),540600,10000,DUEL,NEUTRE-JF,Sam 17,,
12 Bis (1),557880,10000,12 Bis,-,Sam 17,,
RENDEMENT OFFENSIF (2),561840,6000,RENDEMENT OFFENSIF,,Chloe 2,,
0/6 (10),585720,10000,,+,Chloe 2,AR*AR,
DEGERMANN (9),590720,5000,,+,,AR*AR,
E.R (2),596480,10000,,NEUTRE-JF,,,E.R
DUEL (3),612440,10000,DUEL,-,Sam 17,,
SHOOT/ Action Indiv (1),623440,10000,SHOOT/ Action Indiv,-,Mouna 20,,
REPLI DEF (5),633320,11000,,+,Mouna 20,DUEL,
DEGERMANN (10),638600,5000,,,,DEGERMANN,
DUEL (4),652840,10000,DUEL,NEUTRE-JF,Sam 17,,
DUEL (5),669440,10000,DUEL,NEUTRE-JF,Sam 17,,
12 BARCA (1),678960,10000,12 BARCA,-,Sam 17,,
RENDEMENT OFFENSIF (3),683640,6000,RENDEMENT OFFENSIF,-,Leslie 26,,
12 Bis (2),714520,10000,12 Bis,+,Chloe 2,,
RENDEMENT OFFENSIF (4),715640,8880,RENDEMENT OFFENSIF,,Sam 17,,
0/6 (11),748040,10000,,+,Leslie 26,Espagnol,
DEGERMANN (11),754160,5000,,,,Espagnol,
E.R (3),760920,10000,,+,Lola 11,,E.R
0/6 (12),791280,10000,,+,,Espagnol,
CARRETERO (1),796280,5000,,+,,Espagnol,
E.R (4),800160,10000,,NEUTRE-JF,,,E.R
41 (2) +croisé,908080,10000,41,+,Mouna 20,,
REPLI DEF (6),918120,11000,,+,,REPLI DEF,
CARRETERO (2),924120,5000,,+,,CARRETERO,
Titi (1) spéciale Porte,953080,10000,Titi,-,Noemie 10,,
REPLI DEF (7),962440,11000,,,,REPLI DEF,
CARRETERO (3),968920,5000,,-,,CARRETERO,
41 (2),1019680,10000,41,-,Maurine 97,,
1-5 (1),1039200,10000,,+,Noemie 10,Rentrée AL,
RENDEMENT DEFENSIF (3),1043160,6000,,+,Chloe 2,Rentrée AL,
CARRETERO (4),1044200,5000,,+,,Rentrée AL,
2 (2),1066920,10000,2,-,Mouna 20,,
REPLI DEF (8),1073000,11000,,-,,REPLI DEF,
CARRETERO (5),1079000,5000,,-,,CARRETERO,
1-5 (2),1103000,10000,,+,Maurine 97,12/YAGO,
1-5 (3),1103320,10000,,,,1-5,
RENDEMENT DEFENSIF (4),1106440,6880,,+,Maurine 97,DUEL,
CARRETERO (6),1108320,5000,,+,,DUEL,
MdB Tipex (1),1114040,10000,,NEUTRE-JF,Maurine 97,,MdB Tipex
Nantes (1),1135480,10000,Nantes,-,Maurine 97,,
