Nom,Position,Durée:,Défense,Rendement,Attaque,Zone joueurs,Grand Espace
0/6 YOUGO ISO4,28920,10000,Yougo,-,,,
CARRETERO (1),33920,5000,Yougo,-,,,
YOUGO ISLANDAIS,61240,18880,,NEUTRE-JF,YOUGO,,
12 (1),80880,10000,,+,12,Leslie 26,
SHOOT (LESLIE),85840,5000,,+,SHOOT,Leslie 26,
0/6 (1),109080,10000,DUEL,-,,,
CARRETERO (2),114080,5000,DUEL,-,,,
MdB (1),118040,10000,,NEUTRE-JF,,,MdB
12 Islandais,144120,10000,,NEUTRE-JF,12,,
DUEL (1),158000,10000,,NEUTRE-JF,DUEL,Sam 17,
DUEL (2),169800,10000,,NEUTRE-JF,DUEL,Sam 17,
DUEL (3),182440,10000,,NEUTRE-JF,DUEL,,
Action Indiv Chloé Jet franc shoot,192040,5080,,-,Action Indiv,Chloe 2,
Divers (1),206600,10000,,-,Divers,Lola 11,
REPLI DEF (1),215080,11000,DUEL,PEN,,,
CARRETERO (3),221080,5000,DUEL,PEN,,,
CARRETERO PENALTY (4),244840,5000,CARRETERO,+,,,
Nantes (1),282080,10000,,-,Nantes,Sam 17,
REPLI DEF (2),287280,11000,REPLI DEF,+,,,
CARRETERO (4),293280,5000,CARRETERO,+,,,
Action Indiv Mouna,303000,10000,,+,Action Indiv,Mouna 20,
0/6 2PC2 AR + continuité,338040,10000,JEU AUTOUR PVT,+,,,
CARRETERO (5),343040,5000,JEU AUTOUR PVT,+,,,
E.R (1),348640,10000,,+,,Chloe 2,E.R
0/6 2pC2 + Croisé,375880,10000,Croisé DC*AR,+,,,
CARRETERO (6),380840,5000,Croisé DC*AR,+,,,
MdB 22 (1),385680,10000,,-,,,MdB 22
REPLI DEF (3),392080,11000,REPLI DEF,+,,,
CARRETERO (7),398080,5000,CARRETERO,+,,,
DUEL (4),415360,10000,,NEUTRE-JF,DUEL,Sam 17,
2 (1),428960,10000,,+,2,Chloe 2,
0/6 2PC2 CENTRAL,455480,10000,JEU AUTOUR PVT,NEUTRE-JF,,,
0/6 Poste + rota,503520,10000,Rotation,NEUTRE-JF,,Sam 17,
0/6 2PC2 AL + continuité,511720,10000,JEU AUTOUR PVT,-,,,
CARRETERO (8),516720,5000,JEU AUTOUR PVT,-,,,
MdB (2),523160,10000,,NEUTRE-JF,,,MdB
2PC2 DC (Mouna),534440,10000,,+,JEU AUTOUR PVT,Mouna 20,
REPLI DEF ENG RAPIDE,542560,11000,DUEL,PEN,,,
CARRETERO (9),547400,5000,DUEL,PEN,,,
CARRETERO (10) PENALTY,572280,5000,CARRETERO,+,,,
2PC2 DC (Chloé),591960,10000,,PEN,JEU AUTOUR PVT,Chloe 2,
